1. DocId : 6328 | Concept_CD : SYN|ANA:YPAPD | NAME_CHAR : Poids
2. DocId : 73335 | Concept_CD : SYN|ANA:YPAPA | NAME_CHAR : Poids
3. DocId : 198024 | Concept_CD : SYN|ANA:YPAPB | NAME_CHAR : Poids
4. DocId : 262735 | Concept_CD : SYN|ANA:YPAPE | NAME_CHAR : Poids
5. DocId : 303307 | Concept_CD : SYN|ANA:YPAPC | NAME_CHAR : Poids
241. DocId : 218878 | Concept_CD : DXC|REPONSE:25458-ICD10CHU|R63.5 | NAME_CHAR : Prise de poids anormale
242. DocId : 219150 | Concept_CD : DXC|QUESTION|AUTRE:47140 | NAME_CHAR : 019 - Poids (kg)
243. DocId : 219212 | Concept_CD : DXC|QUESTION|AUTRE:13100 | NAME_CHAR : 008 - Poids sec
244. DocId : 220118 | Concept_CD : DXC|QUESTION|AUTRE:169270 | NAME_CHAR : 005 - Poids (kg)
245. DocId : 222085 | Concept_CD : DXC|QUESTION|AUTRE:164337 | NAME_CHAR : 007 - Poids :
246. DocId : 223086 | Concept_CD : DXC|QUESTION|AUTRE:39719 | NAME_CHAR : 008 - Poids (kg)
247. DocId : 223205 | Concept_CD : DXC|REPONSE:8077-ICD10CHU|R63.5 | NAME_CHAR : Prise de poids anormale
248. DocId : 227627 | Concept_CD : DXC|QUESTION|AUTRE:46867 | NAME_CHAR : 042 - Poids (kg)
249. DocId : 227743 | Concept_CD : DXC|QUESTION|AUTRE:96205 | NAME_CHAR : 006 - Poids (kg)
250. DocId : 228947 | Concept_CD : SYN|ANA:PM | NAME_CHAR : Poids du malade
251. DocId : 229645 | Concept_CD : DXC|QUESTION|AUTRE:187363 | NAME_CHAR : 009 - Poids (kg)
252. DocId : 230228 | Concept_CD : DXC|QUESTION|AUTRE:107200 | NAME_CHAR : 000 - Poids (kg)
253. DocId : 230669 | Concept_CD : DXC|QUESTION|AUTRE:139313 | NAME_CHAR : 017 - Poids
254. DocId : 231166 | Concept_CD : DXC|QUESTION|AUTRE:16446 | NAME_CHAR : 008 - Poids
255. DocId : 231426 | Concept_CD : DXC|QUESTION|AUTRE:18514 | NAME_CHAR : 017 - Poids
256. DocId : 232743 | Concept_CD : DXC|QUESTION|AUTRE:75612 | NAME_CHAR : 008 - Poids (kg)
257. DocId : 233233 | Concept_CD : DXC|REPONSE:47658-47658|26594 | NAME_CHAR : Prise de poids
258. DocId : 236297 | Concept_CD : DXC|QUESTION|AUTRE:34696 | NAME_CHAR : 020 - Poids (kg)
259. DocId : 236541 | Concept_CD : DXC|QUESTION|AUTRE:71599 | NAME_CHAR : 019 - Poids
260. DocId : 236799 | Concept_CD : DXC|QUESTION|AUTRE:176391 | NAME_CHAR : 026 - Poids
261. DocId : 237683 | Concept_CD : DXC|QUESTION|AUTRE:115792 | NAME_CHAR : 078 - Poids
262. DocId : 238617 | Concept_CD : DXC|QUESTION|AUTRE:187556 | NAME_CHAR : 010 - Poids
263. DocId : 241145 | Concept_CD : DXC|QUESTION|AUTRE:13569 | NAME_CHAR : 049 - Poids (Kg)
264. DocId : 241452 | Concept_CD : DXC|QUESTION|AUTRE:130219 | NAME_CHAR : 014 - Poids
265. DocId : 241771 | Concept_CD : DXC|QUESTION|AUTRE:129894 | NAME_CHAR : 010 - Poids
266. DocId : 243514 | Concept_CD : DXC|QUESTION|AUTRE:135082 | NAME_CHAR : 019 - Poids :
267. DocId : 244173 | Concept_CD : DXC|QUESTION|AUTRE:87333 | NAME_CHAR : 004 - Poids (Kg)
268. DocId : 244891 | Concept_CD : DXC|QUESTION|AUTRE:40305 | NAME_CHAR : 018 - Poids (kg)
269. DocId : 247055 | Concept_CD : DXC|QUESTION|AUTRE:150444 | NAME_CHAR : 048 - Poids actuel
270. DocId : 247207 | Concept_CD : DXC|QUESTION|AUTRE:83424 | NAME_CHAR : 041 - Poids
271. DocId : 247551 | Concept_CD : DXC|QUESTION|AUTRE:108609 | NAME_CHAR : 049 - Poids
272. DocId : 249604 | Concept_CD : SYN|ANA:CJ3PD | NAME_CHAR : jour 3: poids
273. DocId : 250221 | Concept_CD : SYN|ANA:C7PDS | NAME_CHAR : Poids des selles
274. DocId : 251306 | Concept_CD : DXC|QUESTION|AUTRE:100034 | NAME_CHAR : 020 - Poids (kg)
275. DocId : 251730 | Concept_CD : DXC|QUESTION|AUTRE:92637 | NAME_CHAR : 002 - Poids (kg)
276. DocId : 254464 | Concept_CD : DXC|QUESTION|AUTRE:179793 | NAME_CHAR : 117 - Poids (kg)
277. DocId : 257294 | Concept_CD : DXC|REPONSE:165353-165353|609804 | NAME_CHAR : Perte de poids
278. DocId : 257957 | Concept_CD : DXC|QUESTION|AUTRE:87655 | NAME_CHAR : 019 - Poids (kg)
279. DocId : 258089 | Concept_CD : DXC|QUESTION|AUTRE:123963 | NAME_CHAR : 152 - Poids :
280. DocId : 258126 | Concept_CD : DXC|QUESTION|AUTRE:186711 | NAME_CHAR : 010 - Poids :
281. DocId : 259825 | Concept_CD : DXC|QUESTION|AUTRE:164777 | NAME_CHAR : 047 - Poids
282. DocId : 260523 | Concept_CD : DXC|QUESTION|BLOB:82503 | NAME_CHAR : 001 - Poids (Kg)
283. DocId : 261440 | Concept_CD : DXC|QUESTION|AUTRE:172661 | NAME_CHAR : 124 - Poids actuel
284. DocId : 261713 | Concept_CD : DXC|QUESTION|AUTRE:158906 | NAME_CHAR : 017 - Poids
285. DocId : 261715 | Concept_CD : DXC|QUESTION|AUTRE:18255 | NAME_CHAR : 038 - Poids théorique
286. DocId : 264737 | Concept_CD : DXC|QUESTION|AUTRE:53826 | NAME_CHAR : 060 - Poids
287. DocId : 264896 | Concept_CD : DXC|QUESTION|AUTRE:11885 | NAME_CHAR : 252 - Poids
288. DocId : 266339 | Concept_CD : DXC|QUESTION|AUTRE:177334 | NAME_CHAR : 015 - Poids :
289. DocId : 267371 | Concept_CD : DXC|QUESTION|AUTRE:137676 | NAME_CHAR : 043 - Poids (kg)
290. DocId : 270722 | Concept_CD : DXC|QUESTION|AUTRE:71604 | NAME_CHAR : 004 - Poids (kg)
291. DocId : 270794 | Concept_CD : DXC|QUESTION|AUTRE:11424 | NAME_CHAR : 015 - Poids (Kg)
292. DocId : 270886 | Concept_CD : DXC|QUESTION|AUTRE:84378 | NAME_CHAR : 007 - Poids
293. DocId : 271947 | Concept_CD : DXC|QUESTION|AUTRE:175554 | NAME_CHAR : 024 - Poids
294. DocId : 272040 | Concept_CD : DXC|QUESTION|AUTRE:158685 | NAME_CHAR : 028 - Poids :
295. DocId : 273121 | Concept_CD : DXC|QUESTION|AUTRE:39330 | NAME_CHAR : 030 - Poids (kg)
296. DocId : 274816 | Concept_CD : DXC|QUESTION|AUTRE:20708 | NAME_CHAR : 003 - Poids
297. DocId : 275131 | Concept_CD : DXC|QUESTION|AUTRE:93840 | NAME_CHAR : 003 - Poids (kg)
298. DocId : 277141 | Concept_CD : DXC|QUESTION|AUTRE:24586 | NAME_CHAR : 014 - Poids
299. DocId : 277242 | Concept_CD : DXC|REPONSE:111093-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
300. DocId : 277703 | Concept_CD : DXC|QUESTION|AUTRE:38809 | NAME_CHAR : 020 - Poids (kg)
301. DocId : 278487 | Concept_CD : DXC|QUESTION|AUTRE:169844 | NAME_CHAR : 044 - Poids
302. DocId : 278713 | Concept_CD : DXC|QUESTION|AUTRE:21052 | NAME_CHAR : 002 - Poids
303. DocId : 278797 | Concept_CD : DXC|QUESTION|AUTRE:138984 | NAME_CHAR : 019 - Poids
304. DocId : 278952 | Concept_CD : DXC|QUESTION|AUTRE:40179 | NAME_CHAR : 029 - Poids (kg)
305. DocId : 279177 | Concept_CD : DXC|QUESTION|AUTRE:81844 | NAME_CHAR : 031 - Poids (kg)
306. DocId : 279326 | Concept_CD : DXC|QUESTION|AUTRE:150142 | NAME_CHAR : 032 - Poids
307. DocId : 281600 | Concept_CD : DXC|REPONSE:10370-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
308. DocId : 282067 | Concept_CD : DXC|QUESTION|BLOB:153765 | NAME_CHAR : 175 - Rappel Poids
309. DocId : 282073 | Concept_CD : DXC|QUESTION|AUTRE:166773 | NAME_CHAR : 009 - Poids :
310. DocId : 282117 | Concept_CD : DXC|QUESTION|AUTRE:179689 | NAME_CHAR : 012 - Poids (kg) 
311. DocId : 283321 | Concept_CD : DXC|REPONSE:95126-95126|43625 | NAME_CHAR : Poids , Pesanteurs
312. DocId : 283945 | Concept_CD : DXC|REPONSE:8452-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
313. DocId : 285323 | Concept_CD : DXC|REPONSE:13425-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
314. DocId : 286274 | Concept_CD : DXC|QUESTION|AUTRE:161673 | NAME_CHAR : 032 - Poids (kg)
315. DocId : 287690 | Concept_CD : DXC|REPONSE:111093-ICD10CHU|R63.5 | NAME_CHAR : Prise de poids anormale
316. DocId : 288000 | Concept_CD : DXC|QUESTION|AUTRE:123874 | NAME_CHAR : 161 - Poids (g)
317. DocId : 288725 | Concept_CD : DXC|REPONSE:8220-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
318. DocId : 290168 | Concept_CD : DXC|QUESTION|AUTRE:126609 | NAME_CHAR : 071 - Poids (Kg)
319. DocId : 290282 | Concept_CD : DXC|REPONSE:36062-36062|23653 | NAME_CHAR : Prise de poids
320. DocId : 290525 | Concept_CD : DXC|QUESTION|AUTRE:41519 | NAME_CHAR : 064 - Poids (kg)
321. DocId : 291119 | Concept_CD : DXC|REPONSE:63815-63815|26594 | NAME_CHAR : Prise de poids
322. DocId : 291248 | Concept_CD : DXC|QUESTION|AUTRE:141452 | NAME_CHAR : 014 - Poids
323. DocId : 291897 | Concept_CD : DXC|REPONSE:3732-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
324. DocId : 293037 | Concept_CD : DXC|QUESTION|AUTRE:145914 | NAME_CHAR : 004 - Poids (kg)
325. DocId : 293196 | Concept_CD : DXC|QUESTION|AUTRE:139497 | NAME_CHAR : 002 - Poids
326. DocId : 295356 | Concept_CD : DXC|REPONSE:25459-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
327. DocId : 296104 | Concept_CD : DXC|QUESTION|AUTRE:44549 | NAME_CHAR : 032 - Poids (kg)
328. DocId : 296656 | Concept_CD : DXC|QUESTION|AUTRE:83003 | NAME_CHAR : 035 - Poids (kg)
329. DocId : 296710 | Concept_CD : DXC|QUESTION|AUTRE:80507 | NAME_CHAR : 049 - Poids
330. DocId : 296930 | Concept_CD : DXC|QUESTION|AUTRE:37840 | NAME_CHAR : 027 - Poids (kg)
331. DocId : 297146 | Concept_CD : DXC|QUESTION|AUTRE:78831 | NAME_CHAR : 057 - Poids habituel
332. DocId : 297609 | Concept_CD : DXC|QUESTION|AUTRE:37602 | NAME_CHAR : 026 - Poids (kg)
333. DocId : 297633 | Concept_CD : DXC|REPONSE:68233-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
334. DocId : 299658 | Concept_CD : DXC|QUESTION|AUTRE:71810 | NAME_CHAR : 017 - Poids actuel
335. DocId : 299779 | Concept_CD : DXC|QUESTION|AUTRE:140221 | NAME_CHAR : 072 - Poids
336. DocId : 300066 | Concept_CD : DXC|QUESTION|AUTRE:169533 | NAME_CHAR : 007 - Poids
337. DocId : 300600 | Concept_CD : DXC|QUESTION|AUTRE:87121 | NAME_CHAR : 006 - Poids habituel
338. DocId : 301305 | Concept_CD : DXC|QUESTION|AUTRE:35843 | NAME_CHAR : 005 - Poids (kg)
339. DocId : 302386 | Concept_CD : DXC|QUESTION|AUTRE:23233 | NAME_CHAR : 007 - Poids centile
340. DocId : 302405 | Concept_CD : DXC|QUESTION|AUTRE:41817 | NAME_CHAR : 035 - Poids (kg)
341. DocId : 302494 | Concept_CD : DXC|QUESTION|AUTRE:78692 | NAME_CHAR : 015 - Poids actuel
342. DocId : 304347 | Concept_CD : DXC|REPONSE:117216-117216|595741 | NAME_CHAR : Perte de poids inexpliquée
343. DocId : 305476 | Concept_CD : DXC|QUESTION|AUTRE:90214 | NAME_CHAR : 001 - Poids (kg)
344. DocId : 306704 | Concept_CD : DXC|REPONSE:135711-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
345. DocId : 306833 | Concept_CD : DXC|REPONSE:21383-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
346. DocId : 307145 | Concept_CD : DXC|QUESTION|AUTRE:53953 | NAME_CHAR : 032 - Poids (kg)
347. DocId : 309139 | Concept_CD : DXC|QUESTION|AUTRE:71811 | NAME_CHAR : 016 - Poids habituel
348. DocId : 309569 | Concept_CD : DXC|QUESTION|AUTRE:11921 | NAME_CHAR : 006 - Poids
349. DocId : 311624 | Concept_CD : DXC|QUESTION|AUTRE:130057 | NAME_CHAR : 009 - Poids
350. DocId : 312358 | Concept_CD : DXC|QUESTION|AUTRE:133298 | NAME_CHAR : 001 - Poids
351. DocId : 313719 | Concept_CD : DXC|QUESTION|AUTRE:180454 | NAME_CHAR : 017 - Poids
352. DocId : 316820 | Concept_CD : DXC|QUESTION|AUTRE:148937 | NAME_CHAR : 010 - Poids :
353. DocId : 317499 | Concept_CD : DXC|QUESTION|AUTRE:133486 | NAME_CHAR : 009 - Poids récent
354. DocId : 319183 | Concept_CD : DXC|QUESTION|AUTRE:109918 | NAME_CHAR : 027 - Poids
355. DocId : 320339 | Concept_CD : DXC|REPONSE:68292-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
356. DocId : 320925 | Concept_CD : DXC|QUESTION|AUTRE:58049 | NAME_CHAR : 038 - Poids (kg)
357. DocId : 321075 | Concept_CD : DXC|QUESTION|AUTRE:173899 | NAME_CHAR : 009 - Poids :
358. DocId : 322195 | Concept_CD : DXC|QUESTION|BLOB:69071 | NAME_CHAR : 047 - poids concat
359. DocId : 322232 | Concept_CD : DXC|QUESTION|AUTRE:172312 | NAME_CHAR : 006 - Poids
360. DocId : 323209 | Concept_CD : DXC|QUESTION|AUTRE:80489 | NAME_CHAR : 003 - Poids
361. DocId : 323553 | Concept_CD : PMSI:DIAGNOSIC-ICD10CHU|R63.5 | NAME_CHAR : Prise de poids anormale
362. DocId : 324768 | Concept_CD : DXC|QUESTION|AUTRE:71601 | NAME_CHAR : 021 - Poids
363. DocId : 325542 | Concept_CD : DXC|QUESTION|AUTRE:37370 | NAME_CHAR : 028 - Poids (kg)
364. DocId : 328232 | Concept_CD : DXC|QUESTION|AUTRE:178185 | NAME_CHAR : 007 - Poids
365. DocId : 329289 | Concept_CD : DXC|QUESTION|AUTRE:71890 | NAME_CHAR : 016 - Poids
366. DocId : 332237 | Concept_CD : DXC|QUESTION|AUTRE:90296 | NAME_CHAR : 066 - Poids
367. DocId : 332762 | Concept_CD : DXC|QUESTION|AUTRE:84837 | NAME_CHAR : 010 - Poids (Kg)
368. DocId : 334568 | Concept_CD : DXC|QUESTION|AUTRE:38079 | NAME_CHAR : 018 - Poids (kg)
369. DocId : 335189 | Concept_CD : DXC|QUESTION|AUTRE:9084 | NAME_CHAR : 020 - Poids (Kg)
370. DocId : 336448 | Concept_CD : DXC|QUESTION|AUTRE:71550 | NAME_CHAR : 018 - Poids (kg)
371. DocId : 336522 | Concept_CD : DXC|QUESTION|AUTRE:134106 | NAME_CHAR : 072 - Poids :
372. DocId : 336988 | Concept_CD : DXC|QUESTION|AUTRE:140271 | NAME_CHAR : 037 - Poids ADDICT
373. DocId : 338632 | Concept_CD : DXC|QUESTION|AUTRE:159444 | NAME_CHAR : 015 - Poids (Kg)
374. DocId : 339433 | Concept_CD : DXC|QUESTION|AUTRE:180404 | NAME_CHAR : 030 - Poids :
375. DocId : 340216 | Concept_CD : DXC|QUESTION|AUTRE:110499 | NAME_CHAR : 005 - Poids (kg)
376. DocId : 341941 | Concept_CD : DXC|QUESTION|AUTRE:166049 | NAME_CHAR : 047 - Poids
377. DocId : 344223 | Concept_CD : DXC|QUESTION|AUTRE:15764 | NAME_CHAR : 001 - Poids (kg)
378. DocId : 344495 | Concept_CD : DXC|QUESTION|AUTRE:106844 | NAME_CHAR : 016 - Poids (kg)
379. DocId : 344757 | Concept_CD : DXC|REPONSE:12981-12981|11161 | NAME_CHAR : Variation de poids
380. DocId : 345865 | Concept_CD : DXC|QUESTION|AUTRE:24079 | NAME_CHAR : 076 - Poids habituel
381. DocId : 346028 | Concept_CD : DXC|QUESTION|AUTRE:83724 | NAME_CHAR : 000 - Poids (kg)
382. DocId : 347525 | Concept_CD : DXC|QUESTION|AUTRE:108952 | NAME_CHAR : 029 - Poids
383. DocId : 349465 | Concept_CD : DXC|QUESTION|AUTRE:169263 | NAME_CHAR : 056 - Poids
384. DocId : 351084 | Concept_CD : DXC|QUESTION|AUTRE:140617 | NAME_CHAR : 002 - Poids :
385. DocId : 351506 | Concept_CD : DXC|QUESTION|AUTRE:22845 | NAME_CHAR : 009 - Poids
386. DocId : 353676 | Concept_CD : DXC|QUESTION|AUTRE:37486 | NAME_CHAR : 023 - Poids (kg)
387. DocId : 354076 | Concept_CD : DXC|QUESTION|AUTRE:167475 | NAME_CHAR : 101 - Poids habituel
388. DocId : 354238 | Concept_CD : DXC|QUESTION|AUTRE:40536 | NAME_CHAR : 019 - Poids (kg)
389. DocId : 354535 | Concept_CD : DXC|QUESTION|AUTRE:166973 | NAME_CHAR : 059 - Poids :
390. DocId : 355200 | Concept_CD : DXC|QUESTION|AUTRE:108726 | NAME_CHAR : 027 - Poids
391. DocId : 355230 | Concept_CD : DXC|QUESTION|AUTRE:170792 | NAME_CHAR : 015 - Poids
392. DocId : 355299 | Concept_CD : DXC|REPONSE:165353-165353|609803 | NAME_CHAR : Prise de poids
393. DocId : 355335 | Concept_CD : DXC|QUESTION|AUTRE:103989 | NAME_CHAR : 024 - Poids
394. DocId : 357114 | Concept_CD : DXC|REPONSE:8407-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
395. DocId : 357120 | Concept_CD : DXC|QUESTION|AUTRE:84466 | NAME_CHAR : 016 - Poids (Kg)
396. DocId : 357542 | Concept_CD : DXC|QUESTION|AUTRE:91571 | NAME_CHAR : 039 - Poids
397. DocId : 359414 | Concept_CD : DXC|QUESTION|AUTRE:91843 | NAME_CHAR : 053 - Poids (kg)
398. DocId : 359417 | Concept_CD : DXC|QUESTION|AUTRE:58413 | NAME_CHAR : 019 - Poids (kg)
399. DocId : 360759 | Concept_CD : DXC|QUESTION|AUTRE:58540 | NAME_CHAR : 003 - Poids
400. DocId : 361353 | Concept_CD : DXC|QUESTION|AUTRE:172341 | NAME_CHAR : 007 - Poids
401. DocId : 361654 | Concept_CD : DXC|QUESTION|AUTRE:158009 | NAME_CHAR : 031 - Poids
402. DocId : 361881 | Concept_CD : DXC|QUESTION|AUTRE:12480 | NAME_CHAR : 014 - Poids
403. DocId : 363526 | Concept_CD : DXC|QUESTION|AUTRE:108635 | NAME_CHAR : 007 - Poids
404. DocId : 365258 | Concept_CD : DXC|QUESTION|AUTRE:182361 | NAME_CHAR : 031 - Poids
405. DocId : 367157 | Concept_CD : DXC|QUESTION|AUTRE:118202 | NAME_CHAR : 004 - Poids :
406. DocId : 369714 | Concept_CD : DXC|QUESTION|AUTRE:173378 | NAME_CHAR : 014 - Poids :
407. DocId : 370214 | Concept_CD : DXC|QUESTION|AUTRE:92867 | NAME_CHAR : 060 - Poids
408. DocId : 371518 | Concept_CD : DXC|QUESTION|AUTRE:12219 | NAME_CHAR : 016 - Poids (Kg)
409. DocId : 371846 | Concept_CD : DXC|QUESTION|AUTRE:162579 | NAME_CHAR : 005 - Poids (kg)
410. DocId : 11581 | Concept_CD : DXC|QUESTION|AUTRE:85917 | NAME_CHAR : 113 - Poids / Prise de Poids 5
411. DocId : 25063 | Concept_CD : DXC|QUESTION|AUTRE:87552 | NAME_CHAR : 178 - Poids / prise de poids 12
412. DocId : 41797 | Concept_CD : DXC|QUESTION|AUTRE:87551 | NAME_CHAR : 169 - Poids / Prise de poids 11
413. DocId : 80088 | Concept_CD : DXC|QUESTION|AUTRE:87550 | NAME_CHAR : 160 - Poids / Prise de poids 10
414. DocId : 157853 | Concept_CD : DXC|QUESTION|AUTRE:87537 | NAME_CHAR : 150 - Poids / Prise de poids 9
415. DocId : 158109 | Concept_CD : DXC|QUESTION|AUTRE:85916 | NAME_CHAR : 104 - Poids / Prise de Poids 4
416. DocId : 166412 | Concept_CD : DXC|QUESTION|AUTRE:85913 | NAME_CHAR : 076 - Poids / Prise de Poids 1
417. DocId : 203867 | Concept_CD : DXC|QUESTION|AUTRE:87526 | NAME_CHAR : 141 - Poids / Prise de poids 8
418. DocId : 208377 | Concept_CD : DXC|QUESTION|AUTRE:85914 | NAME_CHAR : 085 - Poids / Prise de Poids 2
419. DocId : 274439 | Concept_CD : DXC|QUESTION|AUTRE:85915 | NAME_CHAR : 094 - Poids / Prise de Poids 3
420. DocId : 346795 | Concept_CD : DXC|QUESTION|AUTRE:87499 | NAME_CHAR : 132 - Poids / Prise de Poids 7
421. DocId : 365629 | Concept_CD : DXC|QUESTION|AUTRE:85918 | NAME_CHAR : 122 - Poids / Prise de Poids 6
422. DocId : 134 | Concept_CD : DXC|QUESTION|AUTRE:144505 | NAME_CHAR : 019 - Poids actuel (Kg)
423. DocId : 340 | Concept_CD : DXC|QUESTION|AUTRE:9795 | NAME_CHAR : 022 - Poids du patient
424. DocId : 3890 | Concept_CD : DXC|QUESTION|AUTRE:147603 | NAME_CHAR : 006 - Année Poids max
425. DocId : 4989 | Concept_CD : DXC|QUESTION|AUTRE:63112 | NAME_CHAR : 018 - Poids du patient
426. DocId : 5881 | Concept_CD : DXC|QUESTION|AUTRE:67509 | NAME_CHAR : 020 - Poids habituel (kg)
427. DocId : 6159 | Concept_CD : DXC|QUESTION|AUTRE:162115 | NAME_CHAR : 053 - Gain / Poids
428. DocId : 6487 | Concept_CD : DXC|QUESTION|AUTRE:78835 | NAME_CHAR : 061 - Prise de poids
429. DocId : 9674 | Concept_CD : DXC|QUESTION|AUTRE:179702 | NAME_CHAR : 025 - Poids du père 
430. DocId : 15008 | Concept_CD : DXC|QUESTION|AUTRE:130476 | NAME_CHAR : 025 - Poids de naissance 
431. DocId : 20386 | Concept_CD : DXC|QUESTION|AUTRE:63815 | NAME_CHAR : 103 - Evaluation du poids
432. DocId : 25239 | Concept_CD : DXC|QUESTION|AUTRE:175505 | NAME_CHAR : 152 - Poids avant tétée
433. DocId : 29006 | Concept_CD : DXC|QUESTION|AUTRE:67511 | NAME_CHAR : 022 - Poids précédent (kg)
434. DocId : 30143 | Concept_CD : DXC|QUESTION|AUTRE:177391 | NAME_CHAR : 019 - Poids de naissance 
435. DocId : 30317 | Concept_CD : DXC|QUESTION|AUTRE:128145 | NAME_CHAR : 002 - Poids avant grossesse
436. DocId : 35589 | Concept_CD : DXC|QUESTION|AUTRE:173216 | NAME_CHAR : 004 - Poids du DMC
437. DocId : 38258 | Concept_CD : DXC|QUESTION|AUTRE:183910 | NAME_CHAR : 004 - Poids du DMC
438. DocId : 41252 | Concept_CD : DXC|QUESTION|AUTRE:148053 | NAME_CHAR : 001 - Poids (kg) :
439. DocId : 41626 | Concept_CD : DXC|QUESTION|AUTRE:6275 | NAME_CHAR : 002 - Poids du patient
440. DocId : 42102 | Concept_CD : DXC|QUESTION|AUTRE:78992 | NAME_CHAR : 017 - Prise de poids
441. DocId : 44519 | Concept_CD : DXC|QUESTION|AUTRE:44585 | NAME_CHAR : 028 - Poids du patient
442. DocId : 44894 | Concept_CD : DXC|QUESTION|AUTRE:56226 | NAME_CHAR : 003 - Poids (en kg)
443. DocId : 48640 | Concept_CD : DXC|QUESTION|AUTRE:158864 | NAME_CHAR : 033 - Poids actuel (kg)
444. DocId : 49199 | Concept_CD : DXC|QUESTION|AUTRE:185630 | NAME_CHAR : 003 - Poids en kg
445. DocId : 52777 | Concept_CD : DXC|QUESTION|AUTRE:115180 | NAME_CHAR : 077 - Poids des Selles
446. DocId : 55666 | Concept_CD : DXC|QUESTION|AUTRE:107465 | NAME_CHAR : 019 - Poids max (kg)
447. DocId : 57169 | Concept_CD : DXC|QUESTION|AUTRE:58885 | NAME_CHAR : 050 - Valeur du poids
448. DocId : 59391 | Concept_CD : DXC|QUESTION|AUTRE:78292 | NAME_CHAR : 002 - Poids corrigé (kg)
449. DocId : 63748 | Concept_CD : DXC|QUESTION|AUTRE:71812 | NAME_CHAR : 018 - Prise de poids
450. DocId : 66535 | Concept_CD : DXC|QUESTION|AUTRE:61718 | NAME_CHAR : 057 - Poids de sortie
451. DocId : 66769 | Concept_CD : DXC|QUESTION|AUTRE:119053 | NAME_CHAR : 175 - Poids habillé (kg):
452. DocId : 68160 | Concept_CD : DXC|QUESTION|AUTRE:114143 | NAME_CHAR : 153 - Poids après tétée
453. DocId : 72682 | Concept_CD : DXC|REPONSE:87581-87581|37159 | NAME_CHAR : Perte de poids > 3kg
454. DocId : 77593 | Concept_CD : DXC|QUESTION|AUTRE:179696 | NAME_CHAR : 019 - Poids de naissance 
455. DocId : 84053 | Concept_CD : DXC|QUESTION|AUTRE:158681 | NAME_CHAR : 022 - Année Poids min
456. DocId : 84754 | Concept_CD : DXC|QUESTION|AUTRE:76466 | NAME_CHAR : 002 - Poids (en Kg)
457. DocId : 87242 | Concept_CD : DXC|QUESTION|AUTRE:175506 | NAME_CHAR : 153 - Poids après tétée
458. DocId : 87731 | Concept_CD : DXC|QUESTION|AUTRE:36840 | NAME_CHAR : 180 - Poids Au Domicile
459. DocId : 87958 | Concept_CD : DXC|REPONSE:29004-29004|37162 | NAME_CHAR : Pas de perte de poids
460. DocId : 90586 | Concept_CD : DXC|QUESTION|AUTRE:43941 | NAME_CHAR : 010 - Poids min. atteint
461. DocId : 90958 | Concept_CD : DXC|REPONSE:56041-56041|28579 | NAME_CHAR : Pas de perte de poids
462. DocId : 100664 | Concept_CD : DXC|QUESTION|AUTRE:13116 | NAME_CHAR : 024 - Poids théorique (kg)
463. DocId : 107857 | Concept_CD : DXC|QUESTION|AUTRE:150905 | NAME_CHAR : 139 - Poids en kg   
464. DocId : 110495 | Concept_CD : DXC|QUESTION|AUTRE:95579 | NAME_CHAR : 003 - Poids (en Kg)
465. DocId : 112172 | Concept_CD : DXC|QUESTION|AUTRE:78693 | NAME_CHAR : 016 - Prise de poids
466. DocId : 117115 | Concept_CD : DXC|QUESTION|AUTRE:61674 | NAME_CHAR : 011 - Poids maxi. atteint
467. DocId : 119450 | Concept_CD : DXC|QUESTION|AUTRE:150807 | NAME_CHAR : 073 - Poids en kg
468. DocId : 121116 | Concept_CD : DXC|QUESTION|AUTRE:13129 | NAME_CHAR : 037 - Poids de sortie
469. DocId : 121310 | Concept_CD : DXC|QUESTION|AUTRE:43987 | NAME_CHAR : 055 - Poids de sortie
470. DocId : 122937 | Concept_CD : DXC|QUESTION|AUTRE:54655 | NAME_CHAR : 005 - Poids (en kg)
471. DocId : 123508 | Concept_CD : DXC|QUESTION|AUTRE:107808 | NAME_CHAR : 020 - Année Poids max
472. DocId : 128064 | Concept_CD : DXC|QUESTION|AUTRE:57932 | NAME_CHAR : 001 - Poids du patient
473. DocId : 129747 | Concept_CD : DXC|QUESTION|AUTRE:12477 | NAME_CHAR : 011 - Date Poids minimum
474. DocId : 131829 | Concept_CD : DXC|QUESTION|AUTRE:180802 | NAME_CHAR : 004 - Poids actuel (kg)
475. DocId : 136536 | Concept_CD : DXC|QUESTION|AUTRE:86239 | NAME_CHAR : 003 - Evolution du poids
476. DocId : 136782 | Concept_CD : DXC|QUESTION|AUTRE:58457 | NAME_CHAR : 004 - Poids du patient
